consent_reference,tk_id,holder_pseudonym_id,community_council_id,council_endorsement_ref,consent_language,consent_format,consent_date,audio_consent_granted,named_attribution_opt_in,benefit_sharing_agreement_ref,withdrawal_status,withdrawal_date,witnessed_by
FPIC-ZW-2026-C001,ZW-TK-2026-001,HLD-EH-007,CC-CHIMANIMANI-03,END-CC03-2026-011,sn,signed_paper_shona,2026-09-11,yes,no,BSA-ZW-2026-001,active,,LIA-EH-01
FPIC-ZW-2026-C002,ZW-TK-2026-002,HLD-MW-081,CC-HWANGE-06,END-CC06-2026-003,nd,signed_paper_ndebele,2026-09-12,yes,no,BSA-ZW-2026-002,active,,LIA-MW-03
FPIC-ZW-2026-C003,ZW-TK-2026-003,HLD-EH-011,CC-CHIMANIMANI-03,END-CC03-2026-011,sn,signed_paper_shona,2026-09-13,yes,no,BSA-ZW-2026-003,active,,LIA-EH-01
FPIC-ZW-2026-C004,ZW-TK-2026-004,HLD-EH-019,CC-CHIMANIMANI-03,END-CC03-2026-011,sn,signed_paper_shona,2026-09-14,yes,no,BSA-ZW-2026-004,active,,LIA-EH-01
FPIC-ZW-2026-C005,ZW-TK-2026-005,HLD-LV-004,CC-CHIREDZI-07,END-CC07-2026-004,nd,signed_paper_ndebele,2026-09-15,yes,no,BSA-ZW-2026-005,active,,LIA-LV-02
FPIC-ZW-2026-C006,ZW-TK-2026-006,HLD-EH-022,CC-NYANGA-05,END-CC05-2026-002,sn,signed_paper_shona,2026-09-16,yes,no,BSA-ZW-2026-006,withdrawn,2026-12-08,LIA-EH-01
FPIC-ZW-2026-C007,ZW-TK-2026-007,HLD-MW-002,CC-GOKWE-02,END-CC02-2026-009,sn,signed_paper_shona,2026-09-17,yes,no,BSA-ZW-2026-007,active,,LIA-MW-01
FPIC-ZW-2026-C008,ZW-TK-2026-008,HLD-LV-009,CC-BINGA-01,END-CC01-2026-002,nd,signed_paper_ndebele,2026-09-18,yes,no,BSA-ZW-2026-008,active,,LIA-LV-02
FPIC-ZW-2026-C009,ZW-TK-2026-009,HLD-EH-026,CC-CHIMANIMANI-03,END-CC03-2026-011,sn,signed_paper_shona,2026-09-19,yes,no,BSA-ZW-2026-009,active,,LIA-EH-01
FPIC-ZW-2026-C010,ZW-TK-2026-010,HLD-MW-088,CC-HWANGE-06,END-CC06-2026-003,nd,signed_paper_ndebele,2026-09-20,yes,no,BSA-ZW-2026-010,active,,LIA-MW-03
FPIC-ZW-2026-C011,ZW-TK-2026-011,HLD-LV-039,CC-CHIREDZI-07,END-CC07-2026-004,nd,signed_paper_ndebele,2026-09-21,yes,no,BSA-ZW-2026-011,active,,LIA-LV-03
FPIC-ZW-2026-C012,ZW-TK-2026-012,HLD-EH-024,CC-CHIMANIMANI-03,END-CC03-2026-011,sn,signed_paper_shona,2026-09-22,yes,no,BSA-ZW-2026-012,active,,LIA-EH-01
FPIC-ZW-2026-C013,ZW-TK-2026-013,HLD-EH-042,CC-NYANGA-05,END-CC05-2026-002,sn,signed_paper_shona,2026-09-23,yes,no,BSA-ZW-2026-013,active,,LIA-EH-02
FPIC-ZW-2026-C014,ZW-TK-2026-014,HLD-MW-055,CC-GOKWE-02,END-CC02-2026-009,nd,signed_paper_ndebele,2026-09-24,yes,no,BSA-ZW-2026-014,active,,LIA-MW-02
FPIC-ZW-2026-C015,ZW-TK-2026-015,HLD-LV-069,CC-CHIREDZI-07,END-CC07-2026-004,nd,signed_paper_ndebele,2026-09-10,yes,no,BSA-ZW-2026-015,active,,LIA-LV-01
FPIC-ZW-2026-C016,ZW-TK-2026-016,HLD-LV-021,CC-CHIREDZI-07,END-CC07-2026-004,sn,signed_paper_shona,2026-10-11,yes,no,BSA-ZW-2026-016,active,,LIA-LV-02
FPIC-ZW-2026-C017,ZW-TK-2026-017,HLD-EH-088,CC-NYANGA-05,END-CC05-2026-002,sn,signed_paper_shona,2026-10-12,yes,no,BSA-ZW-2026-017,active,,LIA-EH-02
FPIC-ZW-2026-C018,ZW-TK-2026-018,HLD-MW-019,CC-GOKWE-02,END-CC02-2026-009,sn,signed_paper_shona,2026-10-13,yes,no,BSA-ZW-2026-018,active,,LIA-MW-01
FPIC-ZW-2026-C019,ZW-TK-2026-019,HLD-MW-094,CC-HWANGE-06,END-CC06-2026-003,nd,signed_paper_ndebele,2026-10-14,yes,no,BSA-ZW-2026-019,active,,LIA-MW-03
FPIC-ZW-2026-C020,ZW-TK-2026-020,HLD-EH-052,CC-CHIMANIMANI-03,END-CC03-2026-011,sn,signed_paper_shona,2026-10-15,yes,no,BSA-ZW-2026-020,active,,LIA-EH-01
FPIC-ZW-2026-C021,ZW-TK-2026-021,HLD-EH-061,CC-CHIMANIMANI-03,END-CC03-2026-011,sn,signed_paper_shona,2026-10-16,yes,no,BSA-ZW-2026-021,active,,LIA-EH-01
FPIC-ZW-2026-C022,ZW-TK-2026-022,HLD-MS-012,CC-MATOBO-04,END-CC04-2026-001,nd,signed_paper_ndebele,2026-10-17,yes,no,BSA-ZW-2026-022,active,,LIA-MS-01
FPIC-ZW-2026-C023,ZW-TK-2026-023,HLD-LV-051,CC-CHIREDZI-07,END-CC07-2026-004,sn,signed_paper_shona,2026-10-18,yes,no,BSA-ZW-2026-023,active,,LIA-LV-02
FPIC-ZW-2026-C024,ZW-TK-2026-024,HLD-BN-008,CC-BINGA-01,END-CC01-2026-002,nd,signed_paper_ndebele,2026-10-19,yes,no,BSA-ZW-2026-024,active,,LIA-BN-01
