sample_id,collection_event_id,source_id,ecozone,province,district,ward,locality_description,land_tenure,gps_latitude,gps_longitude,gps_precision_m,location_masked,altitude_m,sample_type,collection_depth_cm,local_name,local_name_language,scientific_name,taxon_confidence,voucher_specimen_ref,collection_date,season,soil_ph,temperature_celsius,rainfall_prior_30d_mm,canopy_cover_pct,collector_id,preservation_method,minutes_to_preservation,processing_lab,chain_of_custody_ref,heritage_use_ref,consent_reference,nba_permit_ref,access_permit_ref,sequencing_status,lc_ms_status,data_sensitivity,created_at,record_status
ZW-SMP-2026-001,CE-2026-001,ZW-SRC-001,Eastern Highlands,Manicaland,Nyanga,W04,,communal,-19.8,32.86,5000,1,1205,bark,,Tsangamidzi,sn,Siphonochilus aethiopicus,herbarium_confirmed,HERB-ZW-2026-0001,2026-09-02,dry,6.2,24.5,15.0,50,COL-003,silica_gel,25,MOBILE-LEC-01,COC-2026-0001,ZW-TK-2026-001,FPIC-ZW-2026-C001,NBA-ZW-2026-014,,complete,complete,public,2026-09-02T14:00:00+02:00,active
ZW-SMP-2026-002,CE-2026-002,ZW-SRC-001,Eastern Highlands,Manicaland,Chimanimani,W12,,communal,-19.79,32.87,5000,1,1210,plant_tissue,,Isiphepheto,nd,Siphonochilus aethiopicus,herbarium_confirmed,HERB-ZW-2026-0002,2026-09-03,wet,6.2,24.5,15.0,50,COL-003,silica_gel,25,MOBILE-LEC-01,COC-2026-0002,ZW-TK-2026-002,FPIC-ZW-2026-C002,NBA-ZW-2026-014,,complete,complete,public,2026-09-03T14:00:00+02:00,active
ZW-SMP-2026-003,CE-2026-003,ZW-SRC-001,Eastern Highlands,Manicaland,Nyanga,W04,,communal,-19.79,32.87,5000,1,1215,soil,10,,,,,,2026-09-04,dry,6.2,24.5,15.0,50,COL-003,flash_frozen,25,MOBILE-LEC-01,COC-2026-0003,ZW-TK-2026-003,FPIC-ZW-2026-C003,NBA-ZW-2026-014,,complete,complete,public,2026-09-04T14:00:00+02:00,active
ZW-SMP-2026-004,CE-2026-004,ZW-SRC-001,Eastern Highlands,Manicaland,Chimanimani,W12,,communal,-19.78,32.87,5000,1,1220,bark,,Muranga,sn,Warburgia salutaris,herbarium_confirmed,HERB-ZW-2026-0004,2026-09-05,wet,6.2,24.5,15.0,50,COL-003,silica_gel,25,MOBILE-LEC-01,COC-2026-0004,ZW-TK-2026-004,FPIC-ZW-2026-C004,NBA-ZW-2026-014,,complete,complete,public,2026-09-05T14:00:00+02:00,active
ZW-SMP-2026-005,CE-2026-005,ZW-SRC-001,Eastern Highlands,Manicaland,Nyanga,W04,,communal,-19.78,32.88,5000,1,1225,plant_tissue,,Isibhaha,nd,Warburgia salutaris,herbarium_confirmed,HERB-ZW-2026-0005,2026-09-06,dry,6.2,24.5,15.0,50,COL-003,silica_gel,25,MOBILE-LEC-01,COC-2026-0005,ZW-TK-2026-005,FPIC-ZW-2026-C005,NBA-ZW-2026-014,,complete,complete,public,2026-09-06T14:00:00+02:00,active
ZW-SMP-2026-006,CE-2026-006,ZW-SRC-001,Eastern Highlands,Manicaland,Chimanimani,W12,,communal,-19.77,32.88,5000,1,1230,soil,10,,,,,,2026-09-07,wet,6.2,24.5,15.0,50,COL-003,flash_frozen,25,MOBILE-LEC-01,COC-2026-0006,ZW-TK-2026-006,FPIC-ZW-2026-C006,NBA-ZW-2026-014,,complete,complete,public,2026-09-07T14:00:00+02:00,redacted
ZW-SMP-2026-007,CE-2026-007,ZW-SRC-001,Eastern Highlands,Manicaland,Nyanga,W04,,communal,-19.77,32.88,5000,1,1235,bark,,Yacinthi Yemumvura,sn,Eichhornia crassipes,herbarium_confirmed,HERB-ZW-2026-0007,2026-09-08,dry,6.2,24.5,15.0,50,COL-003,silica_gel,25,MOBILE-LEC-01,COC-2026-0007,ZW-TK-2026-007,FPIC-ZW-2026-C007,NBA-ZW-2026-014,,complete,complete,public,2026-09-08T14:00:00+02:00,active
ZW-SMP-2026-008,CE-2026-008,ZW-SRC-001,Eastern Highlands,Manicaland,Chimanimani,W12,,communal,-19.76,32.88,5000,1,1240,plant_tissue,,Inkazana Yemanzini,nd,Eichhornia crassipes,herbarium_confirmed,HERB-ZW-2026-0008,2026-09-09,wet,6.2,24.5,15.0,50,COL-003,silica_gel,25,MOBILE-LEC-01,COC-2026-0008,ZW-TK-2026-008,FPIC-ZW-2026-C008,NBA-ZW-2026-014,,complete,complete,public,2026-09-09T14:00:00+02:00,active
ZW-SMP-2026-009,CE-2026-009,ZW-SRC-001,Eastern Highlands,Manicaland,Nyanga,W04,,communal,-19.75,32.89,5000,1,1245,soil,10,,,,,,2026-09-10,dry,6.2,24.5,15.0,50,COL-003,flash_frozen,25,MOBILE-LEC-01,COC-2026-0009,ZW-TK-2026-009,FPIC-ZW-2026-C009,NBA-ZW-2026-014,,complete,complete,public,2026-09-10T14:00:00+02:00,active
ZW-SMP-2026-010,CE-2026-010,ZW-SRC-001,Eastern Highlands,Manicaland,Chimanimani,W12,,communal,-19.75,32.89,5000,1,1250,bark,,Umnyii,nd,Berchemia discolor,herbarium_confirmed,HERB-ZW-2026-0010,2026-09-11,wet,6.2,24.5,15.0,50,COL-003,silica_gel,25,MOBILE-LEC-01,COC-2026-0010,ZW-TK-2026-010,FPIC-ZW-2026-C010,NBA-ZW-2026-014,,complete,complete,public,2026-09-11T14:00:00+02:00,active
ZW-SMP-2026-011,CE-2026-011,ZW-SRC-001,Eastern Highlands,Manicaland,Nyanga,W04,,communal,-19.75,32.89,5000,1,1255,plant_tissue,,Umsehla,nd,Peltophorum africanum,herbarium_confirmed,HERB-ZW-2026-0011,2026-09-12,dry,6.2,24.5,15.0,50,COL-003,silica_gel,25,MOBILE-LEC-01,COC-2026-0011,ZW-TK-2026-011,FPIC-ZW-2026-C011,NBA-ZW-2026-014,,complete,complete,public,2026-09-12T14:00:00+02:00,active
ZW-SMP-2026-012,CE-2026-012,ZW-SRC-001,Eastern Highlands,Manicaland,Chimanimani,W12,,communal,-19.74,32.9,5000,1,1260,soil,10,,,,,,2026-09-13,wet,6.2,24.5,15.0,50,COL-003,flash_frozen,25,MOBILE-LEC-01,COC-2026-0012,ZW-TK-2026-012,FPIC-ZW-2026-C012,NBA-ZW-2026-014,,complete,complete,public,2026-09-13T14:00:00+02:00,active
ZW-SMP-2026-013,CE-2026-013,ZW-SRC-001,Eastern Highlands,Manicaland,Nyanga,W04,,communal,-19.73,32.9,5000,1,1265,bark,,Mupangara,sn,Dichrostachys cinerea,herbarium_confirmed,HERB-ZW-2026-0013,2026-09-14,dry,6.2,24.5,15.0,50,COL-003,silica_gel,25,MOBILE-LEC-01,COC-2026-0013,ZW-TK-2026-013,FPIC-ZW-2026-C013,NBA-ZW-2026-014,,complete,complete,public,2026-09-14T14:00:00+02:00,active
ZW-SMP-2026-014,CE-2026-014,ZW-SRC-001,Eastern Highlands,Manicaland,Chimanimani,W12,,communal,-19.73,32.9,5000,1,1270,plant_tissue,,Umtshwili,nd,Tarchonanthus camphoratus,herbarium_confirmed,HERB-ZW-2026-0014,2026-09-15,wet,6.2,24.5,15.0,50,COL-003,silica_gel,25,MOBILE-LEC-01,COC-2026-0014,ZW-TK-2026-014,FPIC-ZW-2026-C014,NBA-ZW-2026-014,,complete,complete,public,2026-09-15T14:00:00+02:00,active
