sample_id,collection_event_id,source_id,ecozone,province,district,ward,locality_description,land_tenure,gps_latitude,gps_longitude,gps_precision_m,location_masked,altitude_m,sample_type,collection_depth_cm,local_name,local_name_language,scientific_name,taxon_confidence,voucher_specimen_ref,collection_date,season,soil_ph,temperature_celsius,rainfall_prior_30d_mm,canopy_cover_pct,collector_id,preservation_method,minutes_to_preservation,processing_lab,chain_of_custody_ref,heritage_use_ref,consent_reference,nba_permit_ref,access_permit_ref,sequencing_status,lc_ms_status,data_sensitivity,created_at,record_status
ZW-SMP-2026-046,CE-2026-046,ZW-SRC-002,Mazowe,Masvingo,Chiredzi,W08,,communal,-21.23,31.85,5000,1,1430,bark,,Mugaranhjanja,sn,Gymnosporia senegalensis,herbarium_confirmed,HERB-ZW-2026-0046,2026-10-22,wet,6.2,24.5,15.0,50,COL-003,silica_gel,25,MOBILE-LEC-01,COC-2026-0046,ZW-TK-2026-046,FPIC-ZW-2026-C046,NBA-ZW-2026-014,,complete,complete,public,2026-10-22T14:00:00+02:00,active
ZW-SMP-2026-047,CE-2026-047,ZW-SRC-002,Mazowe,Masvingo,Chiredzi,W08,,communal,-21.24,31.86,5000,1,1435,plant_tissue,,Umthathi,nd,Ptaeroxylon obliquum,herbarium_confirmed,HERB-ZW-2026-0047,2026-10-23,dry,6.2,24.5,15.0,50,COL-003,silica_gel,25,MOBILE-LEC-01,COC-2026-0047,ZW-TK-2026-047,FPIC-ZW-2026-C047,NBA-ZW-2026-014,,complete,complete,public,2026-10-23T14:00:00+02:00,active
ZW-SMP-2026-048,CE-2026-048,ZW-SRC-002,Mazowe,Masvingo,Chiredzi,W08,,communal,-21.24,31.86,5000,1,1440,soil,10,,,,,,2026-10-24,wet,6.2,24.5,15.0,50,COL-003,flash_frozen,25,MOBILE-LEC-01,COC-2026-0048,ZW-TK-2026-048,FPIC-ZW-2026-C048,NBA-ZW-2026-014,,complete,complete,public,2026-10-24T14:00:00+02:00,active
ZW-SMP-2026-049,CE-2026-049,ZW-SRC-002,Mazowe,Masvingo,Chiredzi,W08,,communal,-21.25,31.87,5000,1,1445,bark,,Umsimbithi,nd,Milletia grandis,herbarium_confirmed,HERB-ZW-2026-0049,2026-10-25,dry,6.2,24.5,15.0,50,COL-003,silica_gel,25,MOBILE-LEC-01,COC-2026-0049,ZW-TK-2026-049,FPIC-ZW-2026-C049,NBA-ZW-2026-014,,complete,complete,public,2026-10-25T14:00:00+02:00,active
ZW-SMP-2026-050,CE-2026-050,ZW-SRC-002,Mazowe,Masvingo,Chiredzi,W08,,communal,-21.25,31.87,5000,1,1450,plant_tissue,,Mundari,sn,Gardenia volkensii,herbarium_confirmed,HERB-ZW-2026-0050,2026-10-01,wet,6.2,24.5,15.0,50,COL-003,silica_gel,25,MOBILE-LEC-01,COC-2026-0050,ZW-TK-2026-050,FPIC-ZW-2026-C050,NBA-ZW-2026-014,,complete,complete,public,2026-10-01T14:00:00+02:00,active
ZW-SMP-2026-051,CE-2026-051,ZW-SRC-002,Mazowe,Masvingo,Chiredzi,W08,,communal,-21.25,31.87,5000,1,1455,soil,10,,,,,,2026-10-02,dry,6.2,24.5,15.0,50,COL-003,flash_frozen,25,MOBILE-LEC-01,COC-2026-0051,ZW-TK-2026-001,FPIC-ZW-2026-C001,NBA-ZW-2026-014,,complete,complete,public,2026-10-02T14:00:00+02:00,active
ZW-SMP-2026-052,CE-2026-052,ZW-SRC-002,Mazowe,Masvingo,Chiredzi,W08,,communal,-21.26,31.88,5000,1,1460,bark,,Isiphepheto,nd,Siphonochilus aethiopicus,herbarium_confirmed,HERB-ZW-2026-0052,2026-10-03,wet,6.2,24.5,15.0,50,COL-003,silica_gel,25,MOBILE-LEC-01,COC-2026-0052,ZW-TK-2026-002,FPIC-ZW-2026-C002,NBA-ZW-2026-014,,complete,complete,public,2026-10-03T14:00:00+02:00,active
ZW-SMP-2026-053,CE-2026-053,ZW-SRC-002,Mazowe,Masvingo,Chiredzi,W08,,communal,-21.26,31.88,5000,1,1465,plant_tissue,,Tsangamidzi Yemukati,sn,Zingiber officinale,herbarium_confirmed,HERB-ZW-2026-0053,2026-10-04,dry,6.2,24.5,15.0,50,COL-003,silica_gel,25,MOBILE-LEC-01,COC-2026-0053,ZW-TK-2026-003,FPIC-ZW-2026-C003,NBA-ZW-2026-014,,complete,complete,public,2026-10-04T14:00:00+02:00,active
ZW-SMP-2026-054,CE-2026-054,ZW-SRC-002,Mazowe,Masvingo,Chiredzi,W08,,communal,-21.27,31.89,5000,1,1470,soil,10,,,,,,2026-10-05,wet,6.2,24.5,15.0,50,COL-003,flash_frozen,25,MOBILE-LEC-01,COC-2026-0054,ZW-TK-2026-004,FPIC-ZW-2026-C004,NBA-ZW-2026-014,,complete,complete,public,2026-10-05T14:00:00+02:00,active
ZW-SMP-2026-055,CE-2026-055,ZW-SRC-002,Mazowe,Masvingo,Chiredzi,W08,,communal,-21.27,31.89,5000,1,1475,bark,,Isibhaha,nd,Warburgia salutaris,herbarium_confirmed,HERB-ZW-2026-0055,2026-10-06,dry,6.2,24.5,15.0,50,COL-003,silica_gel,25,MOBILE-LEC-01,COC-2026-0055,ZW-TK-2026-005,FPIC-ZW-2026-C005,NBA-ZW-2026-014,,complete,complete,public,2026-10-06T14:00:00+02:00,active
