sample_id,collection_event_id,source_id,ecozone,province,district,ward,locality_description,land_tenure,gps_latitude,gps_longitude,gps_precision_m,location_masked,altitude_m,sample_type,collection_depth_cm,local_name,local_name_language,scientific_name,taxon_confidence,voucher_specimen_ref,collection_date,season,soil_ph,temperature_celsius,rainfall_prior_30d_mm,canopy_cover_pct,collector_id,preservation_method,minutes_to_preservation,processing_lab,chain_of_custody_ref,heritage_use_ref,consent_reference,nba_permit_ref,access_permit_ref,sequencing_status,lc_ms_status,data_sensitivity,created_at,record_status
ZW-SMP-2026-081,CE-2026-081,ZW-SRC-003,Zvishavane,Midlands,Gokwe,W04,,communal,-17.98,28.77,5000,1,1605,soil,10,,,,,,2026-11-07,dry,6.2,24.5,15.0,50,COL-003,flash_frozen,25,MOBILE-LEC-01,COC-2026-0081,ZW-TK-2026-031,FPIC-ZW-2026-C031,NBA-ZW-2026-014,,complete,complete,public,2026-11-07T14:00:00+02:00,active
ZW-SMP-2026-082,CE-2026-082,ZW-SRC-003,Zvishavane,Midlands,Gokwe,W04,,communal,-17.97,28.77,5000,1,1610,bark,,Umnyushwa,nd,Syzygium cordatum,herbarium_confirmed,HERB-ZW-2026-0082,2026-11-08,wet,6.2,24.5,15.0,50,COL-003,silica_gel,25,MOBILE-LEC-01,COC-2026-0082,ZW-TK-2026-032,FPIC-ZW-2026-C032,NBA-ZW-2026-014,,complete,complete,public,2026-11-08T14:00:00+02:00,active
ZW-SMP-2026-083,CE-2026-083,ZW-SRC-003,Zvishavane,Midlands,Gokwe,W04,,communal,-17.97,28.76,5000,1,1615,plant_tissue,,Muchechete,sn,Mimusops zeyheri,herbarium_confirmed,HERB-ZW-2026-0083,2026-11-09,dry,6.2,24.5,15.0,50,COL-003,silica_gel,25,MOBILE-LEC-01,COC-2026-0083,ZW-TK-2026-033,FPIC-ZW-2026-C033,NBA-ZW-2026-014,,complete,complete,public,2026-11-09T14:00:00+02:00,active
ZW-SMP-2026-084,CE-2026-084,ZW-SRC-003,Zvishavane,Midlands,Gokwe,W04,,communal,-17.97,28.76,5000,1,1620,soil,10,,,,,,2026-11-10,wet,6.2,24.5,15.0,50,COL-003,flash_frozen,25,MOBILE-LEC-01,COC-2026-0084,ZW-TK-2026-034,FPIC-ZW-2026-C034,NBA-ZW-2026-014,,complete,complete,public,2026-11-10T14:00:00+02:00,active
ZW-SMP-2026-085,CE-2026-085,ZW-SRC-003,Zvishavane,Midlands,Gokwe,W04,,communal,-17.96,28.76,5000,1,1625,bark,,Mutshikili,sn,Trichilia emetica,herbarium_confirmed,HERB-ZW-2026-0085,2026-11-11,dry,6.2,24.5,15.0,50,COL-003,silica_gel,25,MOBILE-LEC-01,COC-2026-0085,ZW-TK-2026-035,FPIC-ZW-2026-C035,NBA-ZW-2026-014,,complete,complete,public,2026-11-11T14:00:00+02:00,active
ZW-SMP-2026-086,CE-2026-086,ZW-SRC-003,Zvishavane,Midlands,Gokwe,W04,,communal,-17.96,28.76,5000,1,1630,plant_tissue,,Mufundamengwe,sn,Croton gratissimus,herbarium_confirmed,HERB-ZW-2026-0086,2026-11-12,wet,6.2,24.5,15.0,50,COL-003,silica_gel,25,MOBILE-LEC-01,COC-2026-0086,ZW-TK-2026-036,FPIC-ZW-2026-C036,NBA-ZW-2026-014,,complete,complete,public,2026-11-12T14:00:00+02:00,active
ZW-SMP-2026-087,CE-2026-087,ZW-SRC-003,Zvishavane,Midlands,Gokwe,W04,,communal,-17.96,28.76,5000,1,1635,soil,10,,,,,,2026-11-13,dry,6.2,24.5,15.0,50,COL-003,flash_frozen,25,MOBILE-LEC-01,COC-2026-0087,ZW-TK-2026-037,FPIC-ZW-2026-C037,NBA-ZW-2026-014,,complete,complete,public,2026-11-13T14:00:00+02:00,active
ZW-SMP-2026-088,CE-2026-088,ZW-SRC-003,Zvishavane,Midlands,Gokwe,W04,,communal,-17.96,28.75,5000,1,1640,bark,,Muchecheni,sn,Ziziphus mucronata,herbarium_confirmed,HERB-ZW-2026-0088,2026-11-14,wet,6.2,24.5,15.0,50,COL-003,silica_gel,25,MOBILE-LEC-01,COC-2026-0088,ZW-TK-2026-038,FPIC-ZW-2026-C038,NBA-ZW-2026-014,,complete,complete,public,2026-11-14T14:00:00+02:00,active
ZW-SMP-2026-089,CE-2026-089,ZW-SRC-003,Zvishavane,Midlands,Gokwe,W04,,communal,-17.95,28.75,5000,1,1645,plant_tissue,,Umtshekesane,nd,Euclea divinorum,herbarium_confirmed,HERB-ZW-2026-0089,2026-11-15,dry,6.2,24.5,15.0,50,COL-003,silica_gel,25,MOBILE-LEC-01,COC-2026-0089,ZW-TK-2026-039,FPIC-ZW-2026-C039,NBA-ZW-2026-014,,complete,complete,public,2026-11-15T14:00:00+02:00,active
ZW-SMP-2026-090,CE-2026-090,ZW-SRC-003,Zvishavane,Midlands,Gokwe,W04,,communal,-17.95,28.75,5000,1,1650,soil,10,,,,,,2026-11-16,wet,6.2,24.5,15.0,50,COL-003,flash_frozen,25,MOBILE-LEC-01,COC-2026-0090,ZW-TK-2026-040,FPIC-ZW-2026-C040,NBA-ZW-2026-014,,complete,complete,public,2026-11-16T14:00:00+02:00,active
