sample_id,collection_event_id,source_id,ecozone,province,district,ward,locality_description,land_tenure,gps_latitude,gps_longitude,gps_precision_m,location_masked,altitude_m,sample_type,collection_depth_cm,local_name,local_name_language,scientific_name,taxon_confidence,voucher_specimen_ref,collection_date,season,soil_ph,temperature_celsius,rainfall_prior_30d_mm,canopy_cover_pct,collector_id,preservation_method,minutes_to_preservation,processing_lab,chain_of_custody_ref,heritage_use_ref,consent_reference,nba_permit_ref,access_permit_ref,sequencing_status,lc_ms_status,data_sensitivity,created_at,record_status
ZW-SMP-2026-106,CE-2026-106,ZW-SRC-007,Other,Matabeleland South,Matobo,W06,Holder-directed bushland site in Matobo communal ward W06,communal,-20.55,28.52,5000,1,1730,bark,,Mubvamaropa,sn,Pterocarpus angolensis,herbarium_confirmed,HERB-ZW-2026-0106,2026-10-07,wet,6.2,24.5,15.0,50,COL-003,silica_gel,25,MOBILE-LEC-01,COC-2026-0106,ZW-TK-2026-006,FPIC-ZW-2026-C006,NBA-ZW-2026-014,,complete,complete,public,2026-10-07T14:00:00+02:00,redacted
ZW-SMP-2026-107,CE-2026-107,ZW-SRC-007,Other,Matabeleland North,Binga,W02,Holder-directed bushland site in Binga communal ward W02,communal,-17.62,27.34,5000,1,1735,plant_tissue,,Yacinthi Yemumvura,sn,Eichhornia crassipes,herbarium_confirmed,HERB-ZW-2026-0107,2026-10-08,dry,6.2,24.5,15.0,50,COL-003,silica_gel,25,MOBILE-LEC-01,COC-2026-0107,ZW-TK-2026-007,FPIC-ZW-2026-C007,NBA-ZW-2026-014,,complete,complete,public,2026-10-08T14:00:00+02:00,active
ZW-SMP-2026-108,CE-2026-108,ZW-SRC-007,Other,Matabeleland South,Matobo,W06,Holder-directed bushland site in Matobo communal ward W06,communal,-20.55,28.52,5000,1,1740,soil,10,,,,,,2026-10-09,wet,6.2,24.5,15.0,50,COL-003,flash_frozen,25,MOBILE-LEC-01,COC-2026-0108,ZW-TK-2026-008,FPIC-ZW-2026-C008,NBA-ZW-2026-014,,complete,complete,public,2026-10-09T14:00:00+02:00,active
ZW-SMP-2026-109,CE-2026-109,ZW-SRC-007,Other,Matabeleland North,Binga,W02,Holder-directed bushland site in Binga communal ward W02,communal,-17.62,27.34,5000,1,1745,bark,,Mukamba,sn,Afzelia quanzensis,herbarium_confirmed,HERB-ZW-2026-0109,2026-10-10,dry,6.2,24.5,15.0,50,COL-003,silica_gel,25,MOBILE-LEC-01,COC-2026-0109,ZW-TK-2026-009,FPIC-ZW-2026-C009,NBA-ZW-2026-014,,complete,complete,public,2026-10-10T14:00:00+02:00,active
ZW-SMP-2026-110,CE-2026-110,ZW-SRC-007,Other,Matabeleland South,Matobo,W06,Holder-directed bushland site in Matobo communal ward W06,communal,-20.55,28.52,5000,1,1750,plant_tissue,,Umnyii,nd,Berchemia discolor,herbarium_confirmed,HERB-ZW-2026-0110,2026-10-11,wet,6.2,24.5,15.0,50,COL-003,silica_gel,25,MOBILE-LEC-01,COC-2026-0110,ZW-TK-2026-010,FPIC-ZW-2026-C010,NBA-ZW-2026-014,,complete,complete,public,2026-10-11T14:00:00+02:00,active
ZW-SMP-2026-111,CE-2026-111,ZW-SRC-007,Other,Matabeleland North,Binga,W02,Holder-directed bushland site in Binga communal ward W02,communal,-17.62,27.34,5000,1,1755,soil,10,,,,,,2026-10-12,dry,6.2,24.5,15.0,50,COL-003,flash_frozen,25,MOBILE-LEC-01,COC-2026-0111,ZW-TK-2026-011,FPIC-ZW-2026-C011,NBA-ZW-2026-014,,complete,complete,public,2026-10-12T14:00:00+02:00,active
ZW-SMP-2026-112,CE-2026-112,ZW-SRC-007,Other,Matabeleland South,Matobo,W06,Holder-directed bushland site in Matobo communal ward W06,communal,-20.55,28.52,5000,1,1760,bark,,Munhondo,sn,Julbernardia globiflora,herbarium_confirmed,HERB-ZW-2026-0112,2026-10-13,wet,6.2,24.5,15.0,50,COL-003,silica_gel,25,MOBILE-LEC-01,COC-2026-0112,ZW-TK-2026-012,FPIC-ZW-2026-C012,NBA-ZW-2026-014,,complete,complete,public,2026-10-13T14:00:00+02:00,active
ZW-SMP-2026-113,CE-2026-113,ZW-SRC-007,Other,Matabeleland North,Binga,W02,Holder-directed bushland site in Binga communal ward W02,communal,-17.62,27.34,5000,1,1765,plant_tissue,,Mupangara,sn,Dichrostachys cinerea,herbarium_confirmed,HERB-ZW-2026-0113,2026-10-14,dry,6.2,24.5,15.0,50,COL-003,silica_gel,25,MOBILE-LEC-01,COC-2026-0113,ZW-TK-2026-013,FPIC-ZW-2026-C013,NBA-ZW-2026-014,,complete,complete,public,2026-10-14T14:00:00+02:00,active
ZW-SMP-2026-114,CE-2026-114,ZW-SRC-007,Other,Matabeleland South,Matobo,W06,Holder-directed bushland site in Matobo communal ward W06,communal,-20.55,28.52,5000,1,1770,soil,10,,,,,,2026-10-15,wet,6.2,24.5,15.0,50,COL-003,flash_frozen,25,MOBILE-LEC-01,COC-2026-0114,ZW-TK-2026-014,FPIC-ZW-2026-C014,NBA-ZW-2026-014,,complete,complete,public,2026-10-15T14:00:00+02:00,active
ZW-SMP-2026-115,CE-2026-115,ZW-SRC-007,Other,Matabeleland North,Binga,W02,Holder-directed bushland site in Binga communal ward W02,communal,-17.62,27.34,5000,1,1775,bark,,Umkhwenkwe,nd,Pittosporum viridiflorum,herbarium_confirmed,HERB-ZW-2026-0115,2026-10-16,dry,6.2,24.5,15.0,50,COL-003,silica_gel,25,MOBILE-LEC-01,COC-2026-0115,ZW-TK-2026-015,FPIC-ZW-2026-C015,NBA-ZW-2026-014,,complete,complete,public,2026-10-16T14:00:00+02:00,active
ZW-SMP-2026-116,CE-2026-116,ZW-SRC-007,Other,Matabeleland South,Matobo,W06,Holder-directed bushland site in Matobo communal ward W06,communal,-20.55,28.52,5000,1,1780,plant_tissue,,Muunga,sn,Vachellia karroo,herbarium_confirmed,HERB-ZW-2026-0116,2026-10-17,wet,6.2,24.5,15.0,50,COL-003,silica_gel,25,MOBILE-LEC-01,COC-2026-0116,ZW-TK-2026-016,FPIC-ZW-2026-C016,NBA-ZW-2026-014,,complete,complete,public,2026-10-17T14:00:00+02:00,active
ZW-SMP-2026-117,CE-2026-117,ZW-SRC-007,Other,Matabeleland North,Binga,W02,Holder-directed bushland site in Binga communal ward W02,communal,-17.62,27.34,5000,1,1785,soil,10,,,,,,2026-10-18,dry,6.2,24.5,15.0,50,COL-003,flash_frozen,25,MOBILE-LEC-01,COC-2026-0117,ZW-TK-2026-017,FPIC-ZW-2026-C017,NBA-ZW-2026-014,,complete,complete,public,2026-10-18T14:00:00+02:00,active
