sequence_id,sample_id,platform,library_prep_kit,flowcell_id,basecalling_model,run_date,sequencing_lab,target_region,read_count,total_bases,mean_read_length_bp,read_n50_bp,mean_q_score,assembly_method,assembly_n50_bp,contig_count,taxonomic_assignment,assignment_method,organism_novelty,best_blast_accession,best_blast_pct_identity,predicted_function,disease_target_relevance,annotation_confidence,bgc_count,heritage_link,file_path_fasta,file_checksum_sha256,file_size_bytes,data_sensitivity,qc_status,created_at
ZW-SEQ-2026-001,ZW-SMP-2026-001,ont_minion,SQK-RBK114-24,FAX12301,dna_r10.4.1_e8.2_400bps_sup,2026-10-15,MOBILE-LEC-01,its,150000,220000000,1450,1600,14.5,flye,45000,300,Fungal endophyte,kraken2/GTDB-r214,putative_novel,NR_112345.1,96.5,polyketide synthase (predicted),0.75,0.92,5,ZW-TK-2026-001,raw/zw_src_001_eastern_highlands/ZW-SEQ-2026-001.fasta,8bf26cc9b357cbc6a3610fe3e1f7030829bf918e4a53f901779df0bd601562c6,1850000000,public,pass,2026-10-16T08:00:00+02:00
ZW-SEQ-2026-002,ZW-SMP-2026-002,illumina_miseq,SQK-RBK114-24,FAX12302,dna_r10.4.1_e8.2_400bps_sup,2026-10-15,MOBILE-LEC-01,rbcl,150000,220000000,1450,1600,32.4,flye,45000,300,Fungal endophyte,kraken2/GTDB-r214,known,NR_112345.1,96.5,polyketide synthase (predicted),0.75,0.92,6,ZW-TK-2026-002,raw/zw_src_001_eastern_highlands/ZW-SEQ-2026-002.fasta,0cf4c3ac19f1ee760f82ff187131cee243537f12e1a8856d89c29297c80a27cd,1850000000,public,pass,2026-10-16T08:00:00+02:00
ZW-SEQ-2026-003,ZW-SMP-2026-003,ont_minion,SQK-RBK114-24,FAX12303,dna_r10.4.1_e8.2_400bps_sup,2026-10-15,MOBILE-LEC-01,matk,150000,220000000,1450,1600,14.5,flye,45000,300,Fungal endophyte,kraken2/GTDB-r214,divergent,NR_112345.1,96.5,polyketide synthase (predicted),0.75,0.92,7,ZW-TK-2026-003,raw/zw_src_001_eastern_highlands/ZW-SEQ-2026-003.fasta,23f4ddd02528439a2e6f625abac243b9f131cb7140abfdbd5d4dc367e2008b73,1850000000,public,pass,2026-10-16T08:00:00+02:00
ZW-SEQ-2026-004,ZW-SMP-2026-004,illumina_miseq,SQK-RBK114-24,FAX12304,dna_r10.4.1_e8.2_400bps_sup,2026-10-15,MOBILE-LEC-01,shotgun_metagenome,150000,220000000,1450,1600,32.4,flye,45000,300,Fungal endophyte,kraken2/GTDB-r214,putative_novel,NR_112345.1,96.5,polyketide synthase (predicted),0.75,0.92,8,ZW-TK-2026-004,raw/zw_src_001_eastern_highlands/ZW-SEQ-2026-004.fasta,791d710758356c0775e3afb3564a55a30a0939fe3bd842b9868db7c96d50dc01,1850000000,public,pass,2026-10-16T08:00:00+02:00
ZW-SEQ-2026-005,ZW-SMP-2026-005,ont_minion,SQK-RBK114-24,FAX12305,dna_r10.4.1_e8.2_400bps_sup,2026-10-15,MOBILE-LEC-01,16s_rrna,150000,220000000,1450,1600,14.5,flye,45000,300,Streptomyces sp.,kraken2/GTDB-r214,known,NR_112345.1,96.5,polyketide synthase (predicted),0.75,0.92,9,ZW-TK-2026-005,raw/zw_src_001_eastern_highlands/ZW-SEQ-2026-005.fasta,47fd9e787c0eeb8fdd4a026a3984bf7c73e9b6859e3cafb38af9305443c9150f,1850000000,public,pass,2026-10-16T08:00:00+02:00
ZW-SEQ-2026-006,ZW-SMP-2026-006,illumina_miseq,SQK-RBK114-24,FAX12306,dna_r10.4.1_e8.2_400bps_sup,2026-10-15,MOBILE-LEC-01,its,150000,220000000,1450,1600,32.4,flye,45000,300,Fungal endophyte,kraken2/GTDB-r214,divergent,NR_112345.1,96.5,polyketide synthase (predicted),0.75,0.92,10,ZW-TK-2026-006,raw/zw_src_001_eastern_highlands/ZW-SEQ-2026-006.fasta,f027a39d4881c421330bb4ee5246f159b79c6e877239e319d998ca8128eb3cc2,1850000000,public,pass,2026-10-16T08:00:00+02:00
ZW-SEQ-2026-007,ZW-SMP-2026-007,ont_minion,SQK-RBK114-24,FAX12307,dna_r10.4.1_e8.2_400bps_sup,2026-10-15,MOBILE-LEC-01,rbcl,150000,220000000,1450,1600,14.5,flye,45000,300,Fungal endophyte,kraken2/GTDB-r214,putative_novel,NR_112345.1,96.5,polyketide synthase (predicted),0.75,0.92,11,ZW-TK-2026-007,raw/zw_src_001_eastern_highlands/ZW-SEQ-2026-007.fasta,7c50422f77c8cc44ea031eb8f0faef929e734231ceb31353d689cb39dfcf2267,1850000000,public,pass,2026-10-16T08:00:00+02:00
ZW-SEQ-2026-008,ZW-SMP-2026-008,illumina_miseq,SQK-RBK114-24,FAX12308,dna_r10.4.1_e8.2_400bps_sup,2026-10-15,MOBILE-LEC-01,matk,150000,220000000,1450,1600,32.4,flye,45000,300,Fungal endophyte,kraken2/GTDB-r214,known,NR_112345.1,96.5,polyketide synthase (predicted),0.75,0.92,12,ZW-TK-2026-008,raw/zw_src_001_eastern_highlands/ZW-SEQ-2026-008.fasta,6a52276d3cb3a34f9de229f21def9cc40535c7af2ae65758d40114eee313aba9,1850000000,public,pass,2026-10-16T08:00:00+02:00
ZW-SEQ-2026-009,ZW-SMP-2026-009,ont_minion,SQK-RBK114-24,FAX12309,dna_r10.4.1_e8.2_400bps_sup,2026-10-15,MOBILE-LEC-01,shotgun_metagenome,150000,220000000,1450,1600,14.5,flye,45000,300,Fungal endophyte,kraken2/GTDB-r214,divergent,NR_112345.1,96.5,polyketide synthase (predicted),0.75,0.92,13,ZW-TK-2026-009,raw/zw_src_001_eastern_highlands/ZW-SEQ-2026-009.fasta,e5bb406c8dfd095fed4242ad84a582a403dc127a97759323337d1a4d9c25800c,1850000000,public,pass,2026-10-16T08:00:00+02:00
ZW-SEQ-2026-010,ZW-SMP-2026-010,illumina_miseq,SQK-RBK114-24,FAX12310,dna_r10.4.1_e8.2_400bps_sup,2026-10-15,MOBILE-LEC-01,16s_rrna,150000,220000000,1450,1600,32.4,flye,45000,300,Streptomyces sp.,kraken2/GTDB-r214,putative_novel,NR_112345.1,96.5,polyketide synthase (predicted),0.75,0.92,14,ZW-TK-2026-010,raw/zw_src_001_eastern_highlands/ZW-SEQ-2026-010.fasta,9aad1b4a92b773790bc85b51af9b230d99586ee8404cb72eb042571b4d2d4fab,1850000000,public,pass,2026-10-16T08:00:00+02:00
ZW-SEQ-2026-011,ZW-SMP-2026-011,ont_minion,SQK-RBK114-24,FAX12311,dna_r10.4.1_e8.2_400bps_sup,2026-10-15,MOBILE-LEC-01,its,150000,220000000,1450,1600,14.5,flye,45000,300,Fungal endophyte,kraken2/GTDB-r214,known,NR_112345.1,96.5,polyketide synthase (predicted),0.75,0.92,15,ZW-TK-2026-011,raw/zw_src_001_eastern_highlands/ZW-SEQ-2026-011.fasta,c4a92ef7dd8b9e3401c0268cfe583134f97a4b52d23860d2afd3e2edbc8e0010,1850000000,public,pass,2026-10-16T08:00:00+02:00
ZW-SEQ-2026-012,ZW-SMP-2026-012,illumina_miseq,SQK-RBK114-24,FAX12312,dna_r10.4.1_e8.2_400bps_sup,2026-10-15,MOBILE-LEC-01,rbcl,150000,220000000,1450,1600,32.4,flye,45000,300,Fungal endophyte,kraken2/GTDB-r214,divergent,NR_112345.1,96.5,polyketide synthase (predicted),0.75,0.92,16,ZW-TK-2026-012,raw/zw_src_001_eastern_highlands/ZW-SEQ-2026-012.fasta,fd783f12d5ba4af1280c71ba4808adb9e7fd9d54736ac1f957cc2ae039e8877a,1850000000,public,pass,2026-10-16T08:00:00+02:00
ZW-SEQ-2026-013,ZW-SMP-2026-013,ont_minion,SQK-RBK114-24,FAX12313,dna_r10.4.1_e8.2_400bps_sup,2026-10-15,MOBILE-LEC-01,matk,150000,220000000,1450,1600,14.5,flye,45000,300,Fungal endophyte,kraken2/GTDB-r214,putative_novel,NR_112345.1,96.5,polyketide synthase (predicted),0.75,0.92,17,ZW-TK-2026-013,raw/zw_src_001_eastern_highlands/ZW-SEQ-2026-013.fasta,865ad30d055c8a44f8402d55c6a0b6f39fc2ddee1ed661c4a4c7383031194875,1850000000,public,pass,2026-10-16T08:00:00+02:00
ZW-SEQ-2026-014,ZW-SMP-2026-014,illumina_miseq,SQK-RBK114-24,FAX12314,dna_r10.4.1_e8.2_400bps_sup,2026-10-15,MOBILE-LEC-01,shotgun_metagenome,150000,220000000,1450,1600,32.4,flye,45000,300,Fungal endophyte,kraken2/GTDB-r214,known,NR_112345.1,96.5,polyketide synthase (predicted),0.75,0.92,18,ZW-TK-2026-014,raw/zw_src_001_eastern_highlands/ZW-SEQ-2026-014.fasta,b2a5907b240ec6b393a971a8b14c5bff9aad58afc8577e6ed6830d0eb2b6cfc4,1850000000,public,pass,2026-10-16T08:00:00+02:00
ZW-SEQ-2026-015,ZW-SMP-2026-015,ont_minion,SQK-RBK114-24,FAX12315,dna_r10.4.1_e8.2_400bps_sup,2026-10-15,MOBILE-LEC-01,16s_rrna,150000,220000000,1450,1600,14.5,flye,45000,300,Streptomyces sp.,kraken2/GTDB-r214,divergent,NR_112345.1,96.5,polyketide synthase (predicted),0.75,0.92,4,ZW-TK-2026-015,raw/zw_src_001_eastern_highlands/ZW-SEQ-2026-015.fasta,cf11bc4562da8468e93e6ef81e42dd53619d85a07f63ffdb2a09f4b749eb47f8,1850000000,public,pass,2026-10-16T08:00:00+02:00
ZW-SEQ-2026-016,ZW-SMP-2026-016,illumina_miseq,SQK-RBK114-24,FAX12316,dna_r10.4.1_e8.2_400bps_sup,2026-10-15,MOBILE-LEC-01,its,150000,220000000,1450,1600,32.4,flye,45000,300,Fungal endophyte,kraken2/GTDB-r214,putative_novel,NR_112345.1,96.5,polyketide synthase (predicted),0.75,0.92,5,ZW-TK-2026-016,raw/zw_src_001_eastern_highlands/ZW-SEQ-2026-016.fasta,15dc1d94f0517233097f191277508b37720b93aa85bf7af205e13f0436f0ab0c,1850000000,public,pass,2026-10-16T08:00:00+02:00
ZW-SEQ-2026-017,ZW-SMP-2026-017,ont_minion,SQK-RBK114-24,FAX12317,dna_r10.4.1_e8.2_400bps_sup,2026-10-15,MOBILE-LEC-01,rbcl,150000,220000000,1450,1600,14.5,flye,45000,300,Fungal endophyte,kraken2/GTDB-r214,known,NR_112345.1,96.5,polyketide synthase (predicted),0.75,0.92,6,ZW-TK-2026-017,raw/zw_src_001_eastern_highlands/ZW-SEQ-2026-017.fasta,6bcb139400efa54e3447a65ddc7c2c7802a014f4c9e1807b6b38e62a84970ba8,1850000000,public,pass,2026-10-16T08:00:00+02:00
ZW-SEQ-2026-018,ZW-SMP-2026-018,illumina_miseq,SQK-RBK114-24,FAX12318,dna_r10.4.1_e8.2_400bps_sup,2026-10-15,MOBILE-LEC-01,matk,150000,220000000,1450,1600,32.4,flye,45000,300,Fungal endophyte,kraken2/GTDB-r214,divergent,NR_112345.1,96.5,polyketide synthase (predicted),0.75,0.92,7,ZW-TK-2026-018,raw/zw_src_001_eastern_highlands/ZW-SEQ-2026-018.fasta,75758aea6a1841bc3bae0eb6ec3d910f2a78a93107b2300a74e1a345490b04b2,1850000000,public,pass,2026-10-16T08:00:00+02:00
ZW-SEQ-2026-019,ZW-SMP-2026-019,ont_minion,SQK-RBK114-24,FAX12319,dna_r10.4.1_e8.2_400bps_sup,2026-10-15,MOBILE-LEC-01,shotgun_metagenome,150000,220000000,1450,1600,14.5,flye,45000,300,Fungal endophyte,kraken2/GTDB-r214,putative_novel,NR_112345.1,96.5,polyketide synthase (predicted),0.75,0.92,8,ZW-TK-2026-019,raw/zw_src_001_eastern_highlands/ZW-SEQ-2026-019.fasta,8096670d4a6a7f73547549c197ff33da87349967f3a242c7c3d79500bc59f9df,1850000000,public,pass,2026-10-16T08:00:00+02:00
ZW-SEQ-2026-020,ZW-SMP-2026-020,illumina_miseq,SQK-RBK114-24,FAX12320,dna_r10.4.1_e8.2_400bps_sup,2026-10-15,MOBILE-LEC-01,16s_rrna,150000,220000000,1450,1600,32.4,flye,45000,300,Streptomyces sp.,kraken2/GTDB-r214,known,NR_112345.1,96.5,polyketide synthase (predicted),0.75,0.92,9,ZW-TK-2026-020,raw/zw_src_001_eastern_highlands/ZW-SEQ-2026-020.fasta,120df5bf6298b28997d340e379752101e8202fe71e2dad7ef4c705fb9c312c81,1850000000,public,pass,2026-10-16T08:00:00+02:00
ZW-SEQ-2026-021,ZW-SMP-2026-021,ont_minion,SQK-RBK114-24,FAX12321,dna_r10.4.1_e8.2_400bps_sup,2026-10-15,MOBILE-LEC-01,its,150000,220000000,1450,1600,14.5,flye,45000,300,Fungal endophyte,kraken2/GTDB-r214,divergent,NR_112345.1,96.5,polyketide synthase (predicted),0.75,0.92,10,ZW-TK-2026-021,raw/zw_src_001_eastern_highlands/ZW-SEQ-2026-021.fasta,27b7ecbd3f61199d83bdf14e300fb840a5f4e355dad4065ace6f278208714fe5,1850000000,public,pass,2026-10-16T08:00:00+02:00
ZW-SEQ-2026-022,ZW-SMP-2026-022,illumina_miseq,SQK-RBK114-24,FAX12322,dna_r10.4.1_e8.2_400bps_sup,2026-10-15,MOBILE-LEC-01,rbcl,150000,220000000,1450,1600,32.4,flye,45000,300,Fungal endophyte,kraken2/GTDB-r214,putative_novel,NR_112345.1,96.5,polyketide synthase (predicted),0.75,0.92,11,ZW-TK-2026-022,raw/zw_src_001_eastern_highlands/ZW-SEQ-2026-022.fasta,62766ee7f35c2c32b7661c261c08c9cfe153c0567522e0ac56f0fc08180076e3,1850000000,public,pass,2026-10-16T08:00:00+02:00
ZW-SEQ-2026-023,ZW-SMP-2026-023,ont_minion,SQK-RBK114-24,FAX12323,dna_r10.4.1_e8.2_400bps_sup,2026-10-15,MOBILE-LEC-01,matk,150000,220000000,1450,1600,14.5,flye,45000,300,Fungal endophyte,kraken2/GTDB-r214,known,NR_112345.1,96.5,polyketide synthase (predicted),0.75,0.92,12,ZW-TK-2026-023,raw/zw_src_001_eastern_highlands/ZW-SEQ-2026-023.fasta,2c4623c7222811cd300aa39b527fadacb0fa3243e02fb343ffbf5d9045e79056,1850000000,public,pass,2026-10-16T08:00:00+02:00
ZW-SEQ-2026-024,ZW-SMP-2026-024,illumina_miseq,SQK-RBK114-24,FAX12324,dna_r10.4.1_e8.2_400bps_sup,2026-10-15,MOBILE-LEC-01,shotgun_metagenome,150000,220000000,1450,1600,32.4,flye,45000,300,Fungal endophyte,kraken2/GTDB-r214,divergent,NR_112345.1,96.5,polyketide synthase (predicted),0.75,0.92,13,ZW-TK-2026-024,raw/zw_src_001_eastern_highlands/ZW-SEQ-2026-024.fasta,acc5b9b5fc670baccbf32db0f4250f08efab4d544060200c5ca0ef85aa1aca46,1850000000,public,pass,2026-10-16T08:00:00+02:00
ZW-SEQ-2026-025,ZW-SMP-2026-025,ont_minion,SQK-RBK114-24,FAX12325,dna_r10.4.1_e8.2_400bps_sup,2026-10-15,MOBILE-LEC-01,16s_rrna,150000,220000000,1450,1600,14.5,flye,45000,300,Streptomyces sp.,kraken2/GTDB-r214,putative_novel,NR_112345.1,96.5,polyketide synthase (predicted),0.75,0.92,14,ZW-TK-2026-025,raw/zw_src_001_eastern_highlands/ZW-SEQ-2026-025.fasta,dcfad24b052b906c9a88917bcfb1e5c1c47b7c52803aaae41ed8da21948e8621,1850000000,public,pass,2026-10-16T08:00:00+02:00
ZW-SEQ-2026-026,ZW-SMP-2026-026,illumina_miseq,SQK-RBK114-24,FAX12326,dna_r10.4.1_e8.2_400bps_sup,2026-10-15,MOBILE-LEC-01,its,150000,220000000,1450,1600,32.4,flye,45000,300,Fungal endophyte,kraken2/GTDB-r214,known,NR_112345.1,96.5,polyketide synthase (predicted),0.75,0.92,15,ZW-TK-2026-026,raw/zw_src_001_eastern_highlands/ZW-SEQ-2026-026.fasta,f71b1562dddc574654d0d199b54210f2c509fd1387a7b5e39e085533b5889b9d,1850000000,public,pass,2026-10-16T08:00:00+02:00
ZW-SEQ-2026-027,ZW-SMP-2026-027,ont_minion,SQK-RBK114-24,FAX12327,dna_r10.4.1_e8.2_400bps_sup,2026-10-15,MOBILE-LEC-01,rbcl,150000,220000000,1450,1600,14.5,flye,45000,300,Fungal endophyte,kraken2/GTDB-r214,divergent,NR_112345.1,96.5,polyketide synthase (predicted),0.75,0.92,16,ZW-TK-2026-027,raw/zw_src_001_eastern_highlands/ZW-SEQ-2026-027.fasta,1208bd02dc6ab4b3ca05f9813ac6228082e9c93d33b37404e91f7bdfde400541,1850000000,public,pass,2026-10-16T08:00:00+02:00
ZW-SEQ-2026-028,ZW-SMP-2026-028,illumina_miseq,SQK-RBK114-24,FAX12328,dna_r10.4.1_e8.2_400bps_sup,2026-10-15,MOBILE-LEC-01,matk,150000,220000000,1450,1600,32.4,flye,45000,300,Fungal endophyte,kraken2/GTDB-r214,putative_novel,NR_112345.1,96.5,polyketide synthase (predicted),0.75,0.92,17,ZW-TK-2026-028,raw/zw_src_001_eastern_highlands/ZW-SEQ-2026-028.fasta,117616b1e232da62c2ec19269aaffeb5712fef0d0c6e16afce89648849c89991,1850000000,public,pass,2026-10-16T08:00:00+02:00
